meta_name,search_word,code
臺灣大學,臺灣大學、臺大,ntu
清華大學,清大、清華大學,nthu
政治大學,政大、政治大學,nccu
陽明交通大學,陽明交通大學、陽交大、陽大、交大、陽明交大,nycu
中興大學,中興大學、興大,nchu
臺灣師範大學,臺師大、臺灣師範大學、國立臺灣師範大學、師大,ntnu
臺灣海洋大學,臺灣海洋大學、海洋大學、海大,ntou
成功大學,成大、成功大學,ncku
臺北醫學大學,北醫大、臺北醫學大學,tmu
中央大學,央大、中大、中央大學,ncu
高雄師範大學,高師大、高雄師範大學,nknu
彰化師範大學,彰師大、彰化師範大學,ncue
中山大學,中山大學、中山大,nsysu
高雄醫學大學,高醫大、高雄醫學大學,kmu
臺北教育大學,臺北教育大學,ntue
中正大學,中正大學,ccu
宜蘭大學,宜蘭大學、宜大,niu
臺灣藝術大學,臺灣藝術大學、臺藝大,ntua
臺中教育大學,臺中教育大學,ntcu
暨南國際大學,暨南大學,ncnu
臺南藝術大學,臺南藝術大學、南藝大,tnnua
臺灣體育運動大學,臺灣體育運動大學,ntus
體育大學,體育大學,ntsu
臺北藝術大學,臺北藝術大學、北藝大,tnua
臺北大學,臺北大學,ntpu
聯合大學,國立聯合大學、聯大,nuu
嘉義大學,嘉大、嘉義大學,ncyu
東華大學,東大、東華大學,ndhu
臺東大學,臺東大學,nttu
臺南大學,臺南大學,nutn
金門大學,金門大學,nqu
高雄大學,高雄大學,nuk
中原大學,中原、中原大學,cycu
東吳大學,東吳、東吳大學,scu
逢甲大學,逢甲大學、逢大,fcu
中國文化大學,中國文化大學、文化大學,pccu
義守大學,義守大學、義大,isu
世新大學,世新大學,shu
輔仁大學,輔大、輔仁大學、天主教輔仁大學,fju
中國醫藥大學,中國醫藥大學、中醫大、中國醫大,cmu
東海大學,東海大學,thu
實踐大學,實踐大學,usc
大葉大學,大葉大學,dyu
臺北市立大學,臺北市立大學,utaipei
淡江大學,淡江大學、淡大,tku
中山醫學大學,中山醫學大學,csmu
銘傳大學,銘傳大學,mcu
元智大學,元智大學、元大,yzu
亞洲大學,亞洲大學,asia
長榮大學,長榮大學,cjcu
長庚大學,長庚大學,cgu
靜宜大學,靜宜大學,pu
玄奘大學,玄奘大學,hcu
佛光大學,佛光大學、佛光山大學,fgu
大同大學,大同大學,ttu
臺中教育大學,臺中教育大學、中教大,ntue
屏東大學,屏東大學、屏大,nptu
中華大學,中華大學,chu
華梵大學,華梵大學,hfu
南華大學,南華大學,nhu
真理大學,真理大學、真大,au
慈濟大學,慈濟大學,tcu
開南大學,開南大學,knu
台灣首府大學,首府大學,tsu
康寧大學,康寧大學、康大,ukn
馬偕醫學院,馬偕醫學院,mmh
臺北基督學院,臺北基督學院,cct
明道大學,明道大學,mdu