搜尋關鍵字,校系名稱及代碼,招生名額,外加名額,學群類別,招生名額各學群可選填志願數,外加名額各學群可選填志願數,校系分則詳細資料,大學問網址
資訊管理與財務金融學系財務金融組、資管,國立陽明交通大學資訊管理與財務金融學系財務金融組(01301),3,1,第一類學群,5,4,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01301.htm?v=1.0,https://unews.com.tw
管理科學系,國立陽明交通大學管理科學系(01302),6,無,第一類學群,5,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01302.htm?v=1.0,https://unews.com.tw
傳播與科技學系,國立陽明交通大學傳播與科技學系(01303),5,1,第一類學群,5,4,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01303.htm?v=1.0,https://unews.com.tw
外國語文學系、外文,國立陽明交通大學外國語文學系(01304),7,1,第一類學群,5,4,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01304.htm?v=1.0,https://unews.com.tw
人文社會學系、人社,國立陽明交通大學人文社會學系(01305),8,1,第一類學群,5,4,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01305.htm?v=1.0,https://unews.com.tw
奈米科學及工程學士學位學程甲組,國立陽明交通大學奈米科學及工程學士學位學程甲組(主修半導體)(01306),6,無,第二類學群,11,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01306.htm?v=1.0,https://unews.com.tw
奈米科學及工程學士學位學程乙組,國立陽明交通大學奈米科學及工程學士學位學程乙組(主修奈米)(01307),4,無,第二類學群,11,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01307.htm?v=1.0,https://unews.com.tw
理學院科學學士學位學程,國立陽明交通大學理學院科學學士學位學程(乙組)(01308),1,無,第二類學群,11,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01308.htm?v=1.0,https://unews.com.tw
理學院科學學士學位學程,國立陽明交通大學理學院科學學士學位學程(丙組)(01309),1,無,第二類學群,11,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01309.htm?v=1.0,https://unews.com.tw
電機工程學系甲組、電機,國立陽明交通大學電機工程學系甲組(電資國際組)(01310),8,無,第二類學群,11,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01310.htm?v=1.0,https://unews.com.tw
電機工程學系乙組、電機,國立陽明交通大學電機工程學系乙組(電機工程組)(01311),33,2,第二類學群,11,4,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01311.htm?v=1.0,https://unews.com.tw
光電工程學系,國立陽明交通大學光電工程學系(01312),9,1,第二類學群,11,4,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01312.htm?v=1.0,https://unews.com.tw
資訊工程學系、資工,國立陽明交通大學資訊工程學系(01313),26,無,第二類學群,11,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01313.htm?v=1.0,https://unews.com.tw
材料科學與工程學系,國立陽明交通大學材料科學與工程學系(01314),9,無,第二類學群,11,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01314.htm?v=1.0,https://unews.com.tw
機械工程學系、機械,國立陽明交通大學機械工程學系(01315),10,無,第二類學群,11,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01315.htm?v=1.0,https://unews.com.tw
土木工程學系、土木,國立陽明交通大學土木工程學系(01316),12,無,第二類學群,11,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01316.htm?v=1.0,https://unews.com.tw
電子物理學系光電與奈米科學組,國立陽明交通大學電子物理學系光電與奈米科學組(01317),3,無,第二類學群,11,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01317.htm?v=1.0,https://unews.com.tw
電子物理學系電子物理組,國立陽明交通大學電子物理學系電子物理組(01318),4,無,第二類學群,11,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01318.htm?v=1.0,https://unews.com.tw
應用化學系,國立陽明交通大學應用化學系(01319),8,無,第二類學群,11,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01319.htm?v=1.0,https://unews.com.tw
應用數學系、應數,國立陽明交通大學應用數學系(01320),7,1,第二類學群,11,4,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01320.htm?v=1.0,https://unews.com.tw
資訊管理與財務金融學系資訊管理組、資管,國立陽明交通大學資訊管理與財務金融學系資訊管理組(01321),3,1,第二類學群,11,4,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01321.htm?v=1.0,https://unews.com.tw
運輸與物流管理學系,國立陽明交通大學運輸與物流管理學系(01322),7,無,第二類學群,11,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01322.htm?v=1.0,https://unews.com.tw
工業工程與管理學系、工工,國立陽明交通大學工業工程與管理學系(01323),8,無,第二類學群,11,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01323.htm?v=1.0,https://unews.com.tw
生物醫學工程學系、生醫,國立陽明交通大學生物醫學工程學系(01324),3,無,第二類學群,11,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01324.htm?v=1.0,https://unews.com.tw
生物科技學系,國立陽明交通大學生物科技學系(甲組)(01325),8,無,第三類學群,5,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01325.htm?v=1.0,https://unews.com.tw
生物科技學系,國立陽明交通大學生物科技學系(乙組)(01326),3,無,第三類學群,5,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01326.htm?v=1.0,https://unews.com.tw
醫學生物技術暨檢驗學系,國立陽明交通大學醫學生物技術暨檢驗學系(01327),7,無,第三類學群,5,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01327.htm?v=1.0,https://unews.com.tw
生物醫學影像暨放射科學系、生醫,國立陽明交通大學生物醫學影像暨放射科學系(01328),5,無,第三類學群,5,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01328.htm?v=1.0,https://unews.com.tw
護理學系,國立陽明交通大學護理學系(01329),5,無,第三類學群,5,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01329.htm?v=1.0,https://unews.com.tw
物理治療暨輔助科技學系,國立陽明交通大學物理治療暨輔助科技學系(01330),5,無,第三類學群,5,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01330.htm?v=1.0,https://unews.com.tw
生命科學系暨基因體科學研究所、生科,國立陽明交通大學生命科學系暨基因體科學研究所(01331),4,無,第三類學群,5,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01331.htm?v=1.0,https://unews.com.tw
藥學系,國立陽明交通大學藥學系(01332),3,無,第三類學群,5,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01332.htm?v=1.0,https://unews.com.tw
學士班大一大二不分系,國立陽明交通大學學士班大一大二不分系(01333),3,無,第三類學群,5,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01333.htm?v=1.0,https://unews.com.tw
醫學系,國立陽明交通大學醫學系(01334),29,無,第八類學群,1,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01334.htm?v=1.0,https://unews.com.tw
牙醫學系,國立陽明交通大學牙醫學系(01335),2,無,第八類學群,1,--,https://www.cac.edu.tw/star112/system/8ColQry_xfor112Star_Z84eH3ep//html/112_01335.htm?v=1.0,https://unews.com.tw